S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3),TOT-RF (mm)
1045,10-May-2020 - 00:00,11-May-2020 - 00:00,17.39,59.57,0.89,24.57,13.74,9.06,6.01,0.11,24.08,3.86,9.5,29.97,71.88,1.72,210.85,163.2,746.27,-0.03,28.38,0.02,3.03,1.5
1046,11-May-2020 - 00:00,12-May-2020 - 00:00,14,50.9,1.66,13.82,8.54,8.45,6.14,0.11,11.93,1.67,3.65,29.34,76.67,1.32,165.35,155.28,747.12,-0.01,29.24,0,0.71,0
1047,12-May-2020 - 00:00,13-May-2020 - 00:00,6.85,42.85,1.64,12.72,8.03,10.87,6.61,0.11,20.66,1.36,2.46,31.39,72.24,1.34,161.98,181.04,746.33,-0.01,29.58,0,0.41,0
1048,13-May-2020 - 00:00,14-May-2020 - 00:00,8.84,50.55,2.15,14.27,9.32,11.07,7,0.11,14.4,2.31,6.27,29.42,70.78,1.61,184.44,199.23,746.16,-0.01,29.25,0,0.79,0
1049,14-May-2020 - 00:00,15-May-2020 - 00:00,12.2,45.59,3.07,11.86,8.57,11.96,7.94,0.11,15.49,1.83,7.84,29.72,73.07,1.45,175.88,203.37,745.97,0.02,29.93,0,0.63,0
1050,15-May-2020 - 00:00,16-May-2020 - 00:00,11.32,41.05,3.23,11.41,8.62,11.93,10,0.11,18.52,1.77,6.27,29.82,73.33,1.48,152.39,193.59,744.9,0.05,30.27,0,0.97,0
1051,16-May-2020 - 00:00,17-May-2020 - 00:00,2,18.17,1.44,10.58,6.34,9.05,9.01,0.11,19.83,0.74,1.83,30.54,70.88,1.83,127.42,211.55,744.08,0.05,31.5,0,0.42,0
1052,17-May-2020 - 00:00,18-May-2020 - 00:00,5.63,18.26,1.08,12.38,7.15,7.34,8.69,0.11,17.22,0.88,7.1,29.49,71.35,1.78,133.44,184.78,743.1,0.07,30.49,0,0.29,0
1053,18-May-2020 - 00:00,19-May-2020 - 00:00,11.43,37.3,1.5,18.65,10.95,6.74,8.03,0.11,18.63,1.53,8.54,28.95,64.81,2.16,192.3,83,740.66,0.08,30.93,0,0.89,0
1054,19-May-2020 - 00:00,20-May-2020 - 00:00,29.36,82.97,2.31,30.88,18.02,7.58,11.1,0.11,24.59,2.24,6.03,28.25,52.97,2.71,271.11,35.56,737.92,0.07,32.98,0,1.4,0
1055,20-May-2020 - 00:00,21-May-2020 - 00:00,66.05,203.01,13.04,59.15,41.27,11.72,7.87,0.11,38.87,5.7,17.37,28.92,56.32,1.36,228.07,129.58,738.28,-0.01,34.17,0,3.15,0
1056,21-May-2020 - 00:00,22-May-2020 - 00:00,44.71,149.56,3.11,48.29,27.62,12.98,12.32,0.11,32.4,3.02,9.45,36.31,67.01,2.65,206.06,167.51,739.92,-0.03,32.97,0,0.95,0
1057,22-May-2020 - 00:00,23-May-2020 - 00:00,22.94,86.11,4.72,38.26,23.57,17.67,6.37,0.11,31.89,1.46,3.4,40.69,76.94,2.33,200.12,179.51,741.29,-0.05,31.74,0,0.7,0
1058,23-May-2020 - 00:00,24-May-2020 - 00:00,15.76,81.42,3.41,23.55,14.6,13.12,8.53,0.11,36.71,2.52,2.89,36.71,75.28,2.94,181.84,183.35,743,-0.05,31.51,0,0.71,0
1059,24-May-2020 - 00:00,25-May-2020 - 00:00,11.36,72.69,1.41,21.22,12.18,10.08,9.39,0.11,26.9,2.52,2.95,34.75,73.98,2.92,190.94,155.74,744.43,-0.05,31.35,0,0.69,0
1060,25-May-2020 - 00:00,26-May-2020 - 00:00,17.99,73.25,2.88,20.03,13.02,10.55,7.04,0.11,25.08,1.8,3.22,34.71,74.7,3.27,192.66,150.25,745.01,-0.07,31.16,0,0.63,0
1061,26-May-2020 - 00:00,27-May-2020 - 00:00,13.21,69.66,1.77,20.25,12.02,9.54,9.4,0.11,23.73,2.72,4.83,34.54,73.92,3.29,191.01,161.78,744.96,-0.06,30.92,0,0.88,0
1062,27-May-2020 - 00:00,28-May-2020 - 00:00,27.16,117.74,1.69,20.02,11.83,8.49,8.48,0.6,28.69,2.74,3.36,31.06,70.99,3.29,194.18,174.23,743.67,-0.06,31.49,0,0.87,0
1063,28-May-2020 - 00:00,29-May-2020 - 00:00,25.92,100.38,1.59,20.1,11.85,8.47,7.74,0.66,24.1,2.24,3.65,31.29,75.55,3.48,196.23,149.36,742.86,-0.06,31.2,0,0.88,0
1064,29-May-2020 - 00:00,30-May-2020 - 00:00,17.81,63.12,3.11,26.93,15.69,10.59,8.17,0.61,23.47,1.85,4.42,36.62,77.26,2.23,186.76,166.72,743.54,-0.04,30.59,0.02,1.23,1.5
1065,30-May-2020 - 00:00,31-May-2020 - 00:00,28.62,85.38,7.04,50.01,28.74,9.51,15.67,0.83,14.37,3.32,10.02,39.2,77.35,1.11,218.21,69.29,743.82,0,29.14,0,1.85,0
1066,31-May-2020 - 00:00,01-Jun-2020 - 00:00,20.62,85.5,2.4,24.44,14.64,10.46,5.52,0.53,17.79,1.93,4.43,31.91,76.73,1.9,185.17,173.74,746.75,-0.03,30.99,0,0.86,0
1067,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,15.02,78.21,2.2,20.07,11.86,8.34,5.97,0.49,23.93,2.41,4.9,30.09,75.82,2.32,182.09,152.71,747.05,-0.03,30.7,0,0.82,0
1068,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,10.32,47.23,3.69,21.48,13.94,9.17,9.32,0.48,20.34,1.54,3.64,32.27,75.38,2.09,186.14,177.94,745.35,-0.03,30.9,0.01,0.8,0.5
1069,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,18.16,99.01,5.13,29.1,19.54,9.39,6.45,0.58,25.26,2.48,7.4,31.36,73.34,1.76,191.79,163.61,744.22,-0.03,30.94,0,1.17,0
1070,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,20.49,81.67,4.31,36.85,22.91,8.71,7.53,0.75,25.4,3.41,8.51,30.52,77.24,1.45,219.22,101.86,744.02,-0.01,28.67,0.04,1.7,3.5
1071,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,29.46,105.57,3.03,45.37,25,10.06,11.16,0.8,22.98,4.15,18.44,30.89,80.5,1.3,225.42,74.22,743.77,-0.02,28.49,0,1.5,0
1072,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,21.11,73.97,3.78,39.22,23.05,8.34,6.82,0.63,28.43,2.57,11.57,31.22,75.01,2.27,211.53,162.57,742.76,-0.03,30,0.03,1.42,3
1073,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,29.42,101.66,2.94,34.83,20.26,9.79,5.57,0.56,32.63,3.07,10.87,31.18,75.47,1.69,183.66,106.61,742.01,-0.03,30.28,0,1.14,0
1074,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,30.94,123.92,6.81,41.99,27.62,9.41,7.07,0.64,36.66,3.43,9.43,31.09,72.6,1.71,184.35,122.9,741.68,0,29.79,0.15,1.77,12.5
1075,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,33.55,88.71,4.75,50.92,30.84,9.85,4.94,0.89,33.64,4.19,9.58,31.05,76.77,1.18,201.9,130.53,741.55,-0.01,28.16,0.04,2.62,3.5
1076,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,31.5,77.98,5.17,45.36,27.95,9.13,6.03,0.7,35.46,3.06,7.83,31.17,78.14,1.39,185.6,118.78,740.55,0.02,27.69,0.15,2.12,14.5
1077,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,38.04,100.67,10.66,52,36.07,9.42,5.24,0.7,26.27,5.35,11.04,31,83.26,1.11,207.59,82.99,739.22,0,24.98,0.06,3.38,3.5
1078,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,37.51,75.71,11.85,53.43,35.83,9.95,5.21,0.99,17.72,4.82,19.26,31.59,86.22,0.76,239.43,32.65,738.33,0,24.82,0.11,2.87,9.5
1079,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,23.27,89.51,3.78,38.32,22.57,8.89,10.84,0.67,27.77,3.07,8.06,31.97,74.07,2.32,214.61,175.01,739.39,-0.05,29.32,0,1.26,0
1080,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,21.63,84.78,2.83,33.7,19.92,9.56,9.7,0.6,29.79,2.22,5.79,31.38,74.94,2.55,206.97,131.54,740.83,-0.05,29.94,0,0.95,0
1081,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,24.79,99.93,3.77,38.53,23.32,9.14,8.06,0.68,28.7,3.19,6.2,32.21,74.74,2.53,209.3,128.7,740.29,-0.05,30.52,0,1.53,0
1082,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,21.61,83.14,6.47,40.15,26.58,8.6,10.41,0.63,21.37,3.8,6.56,31.03,79.1,2.64,220.98,68.99,740.3,-0.04,27.2,0.07,1.69,6.5
1083,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,16.68,70.2,5.72,35.57,23.51,6.43,10.4,0.54,26.91,2.92,6.96,31.59,78.64,3.01,207.08,103.94,740.85,-0.06,27.72,0.03,1.39,3
1084,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,20.41,88.22,4.84,42.65,26.57,3.27,11.43,0.67,27.9,4.36,7.66,31.25,74.48,2.7,221.17,88.58,741.85,-0.04,28.82,0,1.7,0
1085,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,13.86,64.44,6.34,40.64,26.43,7.88,13.2,0.96,26.92,2.65,9.55,33.65,69.4,2.75,238,108.67,741.21,-0.02,30.47,0,1.51,0
1086,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,26.79,86.45,4.1,36.77,22.26,15.01,12.14,0.74,44.08,3.19,11.98,33.34,71.1,2,191.9,112.62,740.93,0.01,30.74,0,1.91,0
1087,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,27.29,94.21,6.87,41.2,26.78,13.37,11.08,0.7,35.17,3.25,10.54,31.38,72.56,1.5,224.66,53.05,740.22,0,29.08,0,1.62,0
1088,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,33.08,107.51,5.27,42.6,26.88,13.56,13.53,0.73,35.43,3.93,10.44,33.26,66.46,2.37,228.15,165.61,739.42,-0.02,31.96,0,2.31,0
1089,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,24.89,84.52,2.95,34.15,19.94,13.39,11.79,0.55,43.65,3.11,11.65,33.67,71.79,2.63,198.08,185.43,742.08,-0.03,30.78,0,1.31,0
1090,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,34.21,87.79,1.25,22.55,12.64,14.02,9.99,0.54,35.3,2.66,3.04,33.92,78.89,2.62,159.02,157.24,743.47,-0.04,29.91,0,1.58,0
1091,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,13.29,57.57,2.49,22.1,13.51,12.18,8.5,0.41,28.97,1.27,5.63,33.79,75.57,1.93,171.84,192.7,743.44,-0.01,29.92,0,0.91,0
1092,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,8.15,33,6.06,23.33,17.34,10.93,6.68,0.45,19.8,1.47,5.4,34.07,75.48,1.87,190.9,156.94,742.91,-0.03,29.62,0,1.46,0
1093,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,15.93,54.56,7.82,25.36,19.68,12.23,8.42,0.48,23.51,2.23,12.03,33.66,75.26,2.66,199.89,180.71,742.56,-0.04,29.66,0,0.73,0
1094,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,24.77,73.23,3.6,26.32,16.77,11.75,13.07,0.52,30.16,0.73,2.19,33.78,74.92,2.63,194.08,148.49,742.17,-0.05,29.96,0,0.37,0
1095,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,23.22,65.43,3.61,29.05,18,10.2,8.49,0.47,31.63,0,0,35.26,76.6,2.23,195.55,147.5,741.82,-0.04,29.88,0.01,0,0.5
1096,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,15.88,49.54,4.14,29.76,19.13,9.8,8.78,0.52,28.5,0,0,33.76,75.71,1.84,201.99,164.21,741.88,-0.01,29.85,0.03,0,2.5
1097,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,21.96,64.42,4.97,32.65,21.19,6.55,7.23,0.58,28.85,,,27.97,77.26,2.35,219.61,126.04,742.11,-0.01,27.74,0.01,,1
1098,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,20.53,57.15,4.63,35.43,22.6,5.65,9.25,0.61,28.49,3.36,19.93,28.22,77.51,2.25,234.62,106.77,740.79,-0.02,26.67,0.09,2.24,8
1099,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,24.54,73.21,4.88,37.24,23.2,5.32,7.21,0.59,34.46,1.21,6.27,28.3,78.57,1.95,228.07,100.42,740.12,0,27.41,0,3.36,0
1100,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,26.85,68.54,9.41,41.62,29.76,5.77,8.52,0.73,15.03,2.08,1.94,27.32,81.33,2.27,242.3,44.79,740.24,0,25.45,0.02,1.25,1.5
1101,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,20.66,55.53,8.68,36.69,26.57,4.48,7.24,0.56,17.46,1.38,1.29,27.32,80.52,3,235.26,76.39,739.82,-0.01,25.24,0.06,0.84,4.5
1102,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,31.25,82.38,11.77,38.35,29.97,4.72,8.65,0.79,16.42,1.95,1.81,27.44,82.36,2.48,234.61,39.82,740.48,-0.01,24.44,0.06,1.17,4.5
1103,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,35.29,130.56,6.66,37.08,24.99,4.68,7.5,0.65,25.43,1.58,1.47,27.53,77.08,2.74,203.85,136.81,743.33,-0.04,28.73,0,0.96,0
1104,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,31.29,99.88,3.07,32.59,19.74,5.3,9.39,0.64,27.47,1.41,1.47,28.48,77.95,2.39,189.96,128.5,744.06,-0.03,28.86,0,0.76,0
1105,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,23.44,79.38,4.42,35.69,22.54,5.75,7.44,0.64,27.23,1.07,1.5,30.17,75.48,2.53,202.31,157.38,742.54,-0.02,29.56,0.01,0.36,0.5
1106,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,25.74,92.14,4.01,45.08,27.23,5.7,8.85,0.59,24.62,1.61,2.26,28.83,73.2,2.91,208.42,182.01,742.64,-0.04,29.81,0,0.55,0
1107,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,31.62,104.57,5.07,46.06,28.51,6.71,11.18,0.71,30.23,1.16,1.63,28.45,73.04,2.45,222.93,158.7,742.52,-0.02,29.97,0,0.4,0
1108,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,26.56,83.08,4.91,42.29,26.28,6.19,7.84,0.58,28.59,0.98,1.36,28.25,76.33,2.62,222.09,128.9,742.62,-0.03,28.41,0.04,0.33,3.5
1109,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,27.17,77.69,14.18,47.15,35.75,5.19,7.7,0.67,24.54,1.12,1.56,28.35,74.46,1.97,224.71,137.2,741.72,0.01,27.63,0.18,0.37,17
1110,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,29.8,83.04,10.31,47.18,33.39,6.86,7.95,0.69,22.2,1.2,1.68,28.29,80.07,2,224.46,99.2,741.64,-0.01,25.91,0.3,0.41,28
1111,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,28.43,70.22,11.38,42.74,31.99,6.63,7.05,0.73,17.13,1.24,1.73,29.92,81.48,1.97,219.43,56.03,740.96,-0.02,25.28,0.02,0.42,1.5
1112,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,21.2,62.1,12.56,43.09,32.29,15.38,12.6,0.73,17.94,1.2,1.69,35.41,77.22,2.91,216.13,102.7,739.85,-0.03,26.56,0,0.41,0
1113,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,24.47,70.72,11.88,42.03,32.01,8.45,6.21,0.89,20.51,1.51,2.12,31.22,79.24,2.2,217.94,72.07,741.88,-0.02,26.79,0,0.52,0
1114,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,19.48,62,4.78,32.56,21.08,7.03,6.68,0.56,27.25,0.94,1.31,31.34,76.55,2.33,199.63,187.66,743.37,-0.05,28.96,0,0.33,0
1115,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,25.9,86.58,3.84,33.91,20.96,7.11,9.2,0.66,26.98,1.11,1.56,31.47,74.2,2.54,204.22,195.65,743.59,-0.03,29.64,0,0.38,0
1116,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,30.94,89.99,3.7,37.54,22.71,7.86,3.8,0.73,28.42,1.24,1.73,31.84,77.41,2.8,202.18,127.83,743.32,-0.05,29.02,0.03,0.42,2.5
1117,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,17.69,55.35,5.26,30.74,20.58,6.04,6.8,0.6,21.93,1.01,1.42,31.95,77.42,2.96,206.22,157.07,744.31,-0.04,28.67,0.1,0.35,6.5
1118,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,18.17,66.04,11.03,34.41,27.25,6.25,10.02,0.68,21.45,1.14,1.59,31.9,76.21,2.78,215.86,116.41,744.06,-0.03,29.03,0,0.39,0
1119,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,26.65,65.35,14.63,41.79,34.12,6.84,8.87,0.75,19.09,1.25,1.76,31.87,77.91,2.14,237.51,62.6,743.49,0,27.58,0,0.43,0
1120,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,28.76,77.25,14.99,39.52,32.95,6.63,12.02,1.64,19.42,2.71,3.78,32.99,76.68,1.47,239.54,73.9,744.59,0,26.71,0.2,0.93,19
1121,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,33.19,97.61,18.53,21.61,24.57,4.93,5.8,0.66,29.82,1.12,1.57,31.53,77.08,1.46,183.24,184.23,745.56,-0.01,28.5,0,0.39,0
1122,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,22.23,58.39,2.89,20.71,12.99,5.21,7.21,0.55,34.13,0.95,1.33,31.62,75.47,1.93,195.83,194.59,745.56,-0.02,29.79,0,0.32,0
1123,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,32.45,94.6,5.55,26.58,18.27,5.36,8.15,0.68,39.94,1.14,1.6,31.77,73.11,1.49,212.62,156.7,743.98,0,30.16,0,0.39,0
1124,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,30.59,86.4,7.79,17.13,12.18,8.38,6.85,0.33,45.02,0.53,0.75,36.26,74.76,1.23,156.3,190.23,741.81,0.02,30.2,0.04,0.15,2.5
1125,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,23.86,56.43,4.73,18.17,13.08,5.79,7.43,0.22,32.86,0.34,0.44,31.82,76.15,1.54,160.95,174.25,742.97,0.02,28.62,0.01,0.25,0.5
1126,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,17.33,50.53,9.67,14.3,15.24,4.48,8.27,0.38,23.11,0.56,0.73,32.27,73.88,1.54,172.09,162.96,743.09,0.02,29.44,0.01,0.49,0.5
1127,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,20.71,61.91,8.92,18.08,16.53,4.6,8.81,0.33,24.68,0.49,0.62,31.83,73.86,2.13,201.03,172.43,742.68,-0.03,29.74,0,0.46,0
1128,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,32.05,77.18,2.19,24.68,14.89,7.02,7.03,0.42,29.83,0.65,0.84,33.19,76.57,1.97,221.72,74.18,741.85,-0.04,29.11,0,0.49,0
1129,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,21.97,58.32,4.16,25.01,16.56,5.92,9.66,0.37,32.39,0.55,0.71,31.95,73.05,2.01,226.21,155.14,740.66,0,29.46,0,0.47,0
1130,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,22.22,50.38,3.26,24.88,15.78,5.96,9.63,0.48,32.14,0.73,0.95,31.88,71.86,2.31,240.06,100.61,738.3,-0.01,29.57,0,0.54,0
1131,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,17.61,44.61,4.95,26.15,17.93,5.02,10.47,0.4,21.95,0.6,0.78,31.14,74.03,3.14,245.68,86.16,736.76,-0.03,27.31,0,0.36,0
1132,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,17.11,48.2,7.02,25.36,19.19,4.41,9.6,0.4,19.22,0.6,0.78,30.81,79.11,3.58,218.42,64.28,736.36,-0.09,25.41,0.02,0.19,2
1133,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,21.94,78.06,3.47,22.18,14.53,4.36,9.06,0.43,26.17,0.64,0.85,30.86,75.48,3.39,207.33,89.57,739.67,-0.1,27.89,0,0.21,0
1134,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,31.87,96.15,7.47,29,20.17,7.82,9.39,0.34,19.57,0.51,0.65,33.08,79.33,2,219.14,43.99,741.39,-0.03,28.28,0,0.16,0
1135,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,22,57.95,3.39,22.75,14.46,5.09,6.1,0.32,24.84,0.48,0.6,32.24,67.88,2.62,250.38,147.2,740.57,0.07,31.23,0,3.29,0
1136,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,28.1,76.24,6.15,23.58,17.43,4.73,16.7,0.31,27.56,0.46,0.57,31.7,73.1,1.66,222.34,70.01,739.69,0,27.78,0,0.12,0
1137,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,24.75,68.21,5.52,24.85,17.72,5.19,7.42,0.3,21,0.43,0.55,31.77,73.93,2.74,231.31,105.15,740.36,-0.04,27.23,0,0.13,0
1138,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,24.69,85.06,2.52,24.61,15.14,4.71,7.44,0.37,30.67,0.56,0.72,32.13,70.69,2.93,220.68,140.41,741.12,-0.06,28.55,0,0.16,0
1139,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,23.79,50.94,4.68,23.85,16.5,5.33,9.39,0.36,20.25,0.53,0.69,31.77,77.64,3.17,241.98,65.59,741.15,0,26.23,0,0.15,0
1140,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,21.4,40.41,9.03,23.54,19.86,4.92,8.71,0.41,17.71,0.64,0.83,31.9,84.81,2.2,245.62,46,739.82,0,23.46,0.11,0.21,11
1141,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,19,35.56,11.52,26.4,23.41,8.33,13.53,0.27,15.96,0.39,0.48,35.36,87.24,2.23,231.03,26.1,739.12,-0.02,21.53,0.37,0.11,33
1142,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,17.98,33.86,7.5,22.45,18.03,4.64,10.57,0.33,16.56,0.49,0.62,31.29,86.24,3.57,217.24,39.19,740.45,-0.05,20.95,0.07,0.15,6.5
1143,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,17.24,49.78,6.94,23.91,18.37,4.77,13.07,0.33,19.1,0.49,0.61,31.24,80.32,3.45,215.2,79.94,740.38,-0.03,24.26,0.01,0.14,0.5
1144,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,21.12,73.5,3.93,25.02,16.5,4.74,8.87,0.32,24.23,0.48,0.61,31.08,76.42,3.38,210.18,117.25,740.72,-0.03,26.36,0.01,0.14,0.5
1145,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,28.83,93.07,13.19,34.06,36.15,8.84,11.17,0.35,22.21,0.51,0.66,31.33,77.34,2.38,217.49,86.41,741.05,-0.02,27.16,0.01,0.15,1
1146,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,20.77,61.69,13.79,31,27.71,6.51,18.01,0.34,18.2,1.41,3.93,31.22,74.9,2.48,243.22,88.82,739,0,27.05,0.01,0.57,0.5
1147,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,19.11,61.39,11.22,26.96,23.46,5.51,13.17,0.29,17.55,2.04,3.8,30.76,78.83,3.56,220.89,70.58,738.83,-0.02,24.69,0.01,0.7,0.5
1148,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,20.41,57.22,4.46,24.16,15.58,6.33,8.84,0.23,23.88,1.13,2.92,31.81,77.01,3.7,210.38,120.12,742.91,-0.07,26.17,0.06,0.44,4
1149,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,27.1,73.97,7.13,28.45,20.93,5.92,11.28,0.29,21.67,1.99,5.05,31.62,82.46,2.62,213.15,79.21,744.77,-0.05,25.51,0.09,0.55,8.5
1150,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,33.21,81.29,3.9,28.19,18.17,5.58,14.36,0.3,28.93,1.84,3.55,31.59,77.66,2.89,213.19,137.59,744.45,-0.03,27.59,0,0.55,0
1151,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,33.91,88.31,10.27,34.6,26.75,5.25,10.82,0.36,25.69,2.56,6.59,32.13,78.9,2.04,227.11,134.5,744.02,-0.02,28.02,0.01,1.63,0.5
1152,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,36,86.72,16.55,34.58,31.84,5.39,7.62,0.36,24.97,2.6,8.37,32.28,78.83,1.8,230.3,94.72,744.38,0,27.97,0.06,1.84,6
1153,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,57.22,108.41,22.24,34.84,36.6,5.88,7.24,0.41,19.99,3.65,12.01,32.92,78.47,1.14,231.43,70.5,743.4,0,26.76,0,2.3,0
1154,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,,73.66,5.18,26.48,17.78,6.49,9.94,0.36,21.57,1.62,6.25,32.01,75.54,2.55,237.44,106.5,742.51,-0.01,27.33,0,1.06,0
1155,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,,93.75,5.03,26.39,17.72,12.5,15.78,0.29,38.95,2.52,8.57,34.94,76.07,3.08,212.45,156.23,742.39,-0.05,27.58,0,2.2,0
1156,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,,82.01,2.68,31.23,18.6,14.66,12.92,0.35,46.14,3.41,9.16,34.45,76.82,2.95,205.08,163.81,743.48,-0.04,28.61,0,2.01,0
1157,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,,108.29,3.96,44.96,26.86,17.18,15.42,0.34,40.36,2.67,8,31.03,76.12,2.32,208.26,152.93,744.44,-0.04,29.29,0,1.6,0
1158,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,,110.85,5.96,44.96,28.37,17.88,11.48,0.36,42.8,3.17,14.89,33.91,77.46,1.91,207.86,151.56,744.15,0,29.79,0,1.74,0
1159,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,35.8,94.08,28.23,44.69,46.71,12.97,11.7,0.47,36.86,2.13,6.14,32.97,76.1,1.41,207.85,133.65,744.06,0,28.27,0.14,3.16,13
1160,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,23.46,53.06,11.37,20.16,19.67,15.13,8.57,0.38,36.14,1.77,5.35,33.95,79.03,1.21,178.47,109.03,744.36,0.02,26.76,0.32,2.51,30.5
1161,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,28.28,64.94,24.99,28.97,34.84,12.96,5.69,0.42,32.65,1.07,3.88,32.66,78.31,1.11,139.1,166.5,745.44,0.02,27.86,0,1.12,0
