S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3),TOT-RF (mm)
59,28-Aug-2017 - 00:00,29-Aug-2017 - 00:00,24.24,37.96,1.24,8.89,5.64,3.09,8.68,0,4.23,4.18,13.28,41.08,85.58,0.72,265.08,23.93,729.97,0.04,24.83,0.04,2.98,4
60,29-Aug-2017 - 00:00,30-Aug-2017 - 00:00,28.62,65.18,1.48,10.89,6.96,3.88,32.5,0,27.56,4.34,11.9,34.73,83.07,1.6,260.35,70.86,735.16,0.05,25.28,0.7,3.59,65.5
61,30-Aug-2017 - 00:00,31-Aug-2017 - 00:00,22.43,84.82,1.68,7.71,5.47,1.92,27.7,0,29.4,2.79,10.99,28.02,78.85,1.73,252.91,198.18,740.21,0.04,28.72,0.26,1.44,24.5
62,31-Aug-2017 - 00:00,01-Sep-2017 - 00:00,43.86,70.81,1.84,11.19,7.42,3.07,37.6,0,24.68,4.83,12.16,36.18,81.08,0.86,296.42,83.52,742.78,0.03,28.9,0.06,2.87,3
63,01-Sep-2017 - 00:00,02-Sep-2017 - 00:00,50.56,101.89,1.78,10.65,7.02,4.78,30.87,,19.9,3.93,11.62,41,82.37,0.49,246.44,49.03,742.32,0.05,29.83,0,3.16,0
64,02-Sep-2017 - 00:00,03-Sep-2017 - 00:00,68.67,176.65,1.76,9.63,6.55,2.28,30.43,0,22.66,5.93,13.48,28.78,80.2,0.9,216.82,113.35,,0.06,28.89,0,4.83,0
65,03-Sep-2017 - 00:00,04-Sep-2017 - 00:00,48.23,107.18,1.79,7.69,5.55,1.96,11.48,0,30.61,2.7,10.98,27.33,75.28,1.98,279.16,193.98,,0.09,29.3,0.02,1.49,2
66,04-Sep-2017 - 00:00,05-Sep-2017 - 00:00,57.42,122.16,1.85,6.96,5.21,2.32,30.09,0,22.52,4.52,15.6,27.45,77.68,1.15,280.89,117.9,,0.06,28.73,0.03,3.52,3
67,05-Sep-2017 - 00:00,06-Sep-2017 - 00:00,58.35,134.65,1.84,2.43,2.74,1.68,33.83,0,23.65,3.96,11.99,27.6,75.99,1.3,262.7,172.89,741.91,0.06,29.59,0,3.86,0
68,06-Sep-2017 - 00:00,07-Sep-2017 - 00:00,64.52,144.97,2.11,,1,0.84,30.2,0,32.79,3.66,9.35,27.16,77.01,1.14,244.2,147.84,741.68,0.04,29.24,0,3.23,0
69,07-Sep-2017 - 00:00,08-Sep-2017 - 00:00,35.19,67.68,2.22,,0.38,0.34,26.73,0,32.4,2.31,5.88,27.23,75.27,1.78,265.53,194.53,701.92,0.06,30.1,0,1.4,0
70,08-Sep-2017 - 00:00,09-Sep-2017 - 00:00,30.46,65.25,2.16,0.72,1.3,0.83,28.76,0,20.14,2.36,9.88,33.97,75.48,1.5,279.41,188.2,,0.05,30.46,0,1.09,0
71,09-Sep-2017 - 00:00,10-Sep-2017 - 00:00,13.71,19.68,1.76,5.23,4.11,3.05,26.45,0,16.11,1.71,8.66,41.17,74.18,1.5,226.88,205.43,722.2,0.03,31.11,0,0.7,0
72,10-Sep-2017 - 00:00,11-Sep-2017 - 00:00,17.11,42.06,1.65,1.62,2.2,1.48,7.88,0,17.36,1.42,4.25,29.22,72.52,1.27,180.62,186.45,745.06,0.08,31.21,0.01,0.84,0.5
73,11-Sep-2017 - 00:00,12-Sep-2017 - 00:00,13.66,22.64,1.86,2.75,2.95,1.81,23.58,0,17.36,1.74,4.97,31.69,73.64,1.35,201.54,208.46,746.51,0.07,31.09,0.01,1.21,0.5
74,12-Sep-2017 - 00:00,13-Sep-2017 - 00:00,19.85,43.22,1.81,5.08,4.07,2.36,32.98,0,7.18,2.7,9.87,37.86,74.41,1.43,248.4,150.26,708.16,0.03,30.66,0,2.08,0
75,13-Sep-2017 - 00:00,14-Sep-2017 - 00:00,23.52,69.77,1.75,7.13,5.21,1.62,35.61,0,14.49,3.13,10.83,29.2,75.93,1.44,272.03,92.14,,0.05,28.71,0.01,2.6,0.5
76,14-Sep-2017 - 00:00,15-Sep-2017 - 00:00,14.67,61.2,1.61,8.85,5.97,2.12,28.47,0,19.58,3.54,11.83,28.89,78.4,1.56,272.72,82.47,744.76,0.07,27.28,0,2.11,0
77,15-Sep-2017 - 00:00,16-Sep-2017 - 00:00,26.13,71.32,2.62,19.61,12.55,3.87,27.58,0,10.17,2.68,11.3,28.93,73.66,1.45,279.84,165.34,741.48,0.05,29.35,0,1.86,0
78,16-Sep-2017 - 00:00,17-Sep-2017 - 00:00,35.77,87.27,2.72,16.52,10.99,5.96,26.32,0,33.87,3.82,15.12,29.98,73.18,1.36,277,187.89,,0.06,30.34,0,1.85,0
79,17-Sep-2017 - 00:00,18-Sep-2017 - 00:00,34.77,67.69,2.77,7.34,6.15,4.77,18.16,0,8.83,3.38,14.91,27.54,83.68,1.26,274.02,39.95,,0.06,25.37,0.05,2.89,4.5
80,18-Sep-2017 - 00:00,19-Sep-2017 - 00:00,41.8,92.57,3.02,6.43,5.84,4.91,21.22,0,10.37,3.93,15.03,27.64,78.53,1.44,287.96,108.31,,0.06,28.13,0,2.4,0
81,19-Sep-2017 - 00:00,20-Sep-2017 - 00:00,31.32,75.24,3.13,6.28,5.89,4.7,22.21,0,18.62,2.88,10.66,27.98,72.69,2.12,291.59,152.65,,0.07,29.75,0,1.74,0
82,20-Sep-2017 - 00:00,21-Sep-2017 - 00:00,34.57,96.2,2.76,6.66,5.79,4.21,24.86,0,13.56,3.07,9.62,28.36,69.97,2.88,281.24,161.34,738.22,0.11,29.97,0,1.99,0
83,21-Sep-2017 - 00:00,22-Sep-2017 - 00:00,31.7,77.45,3.16,3.91,4.64,3.69,22.33,0,15.16,3.16,8.34,27.87,73.68,2.52,274.07,141.14,740.03,0.08,29.34,0,1.68,0
84,22-Sep-2017 - 00:00,23-Sep-2017 - 00:00,40.88,105.17,3.14,7.87,6.74,3.76,21.7,0,16.45,3.42,9.75,27.98,77.97,1.65,277.12,93.08,723.2,0.06,28.13,0.03,2.38,2.5
85,23-Sep-2017 - 00:00,24-Sep-2017 - 00:00,39.24,95.87,3.05,6.23,5.76,5.31,4.57,0,27.96,3.17,8.61,28.52,77.11,1.25,275.97,163.02,,0.03,29.1,0,1.68,0
86,24-Sep-2017 - 00:00,25-Sep-2017 - 00:00,55.51,126.82,3.37,2.51,3.82,3.71,11.5,0,43.64,4.6,9.3,28.18,74.52,1.05,254.32,171.66,,0.04,28.65,0,2.7,0
87,25-Sep-2017 - 00:00,26-Sep-2017 - 00:00,43.57,94.85,3.87,,2.03,2.34,29.78,0,29.72,4.29,9.25,31.02,72.52,1.24,260.27,190.44,,0.04,28.84,0,2.84,0
88,26-Sep-2017 - 00:00,27-Sep-2017 - 00:00,41.6,79.53,4.08,1.05,1.67,1.75,32.1,0,23.56,4.58,10.37,33.78,74.53,1.04,250.62,160.88,740.73,0.04,28.46,0.03,3.09,3
89,27-Sep-2017 - 00:00,28-Sep-2017 - 00:00,28.75,28.27,4.85,6.92,5.23,5.54,32.96,0,15.11,3.17,8.98,40.11,75.91,0.9,176.57,144.9,720.92,0.05,28.82,0,1.04,0
90,28-Sep-2017 - 00:00,29-Sep-2017 - 00:00,16.33,50.39,3.03,,0.26,0.17,21.54,0,,2.54,10.36,29.47,78.01,1.23,124.9,121.55,,0.06,26.97,0.17,1.78,11
91,29-Sep-2017 - 00:00,30-Sep-2017 - 00:00,7.21,36.37,3.18,,0.29,0.15,5.73,0,,1.95,7.64,29.95,74.14,1.02,91.1,140.88,,0.06,28.88,0.01,1.11,0.5
92,30-Sep-2017 - 00:00,01-Oct-2017 - 00:00,20.43,59.97,3.37,,0.38,0.24,13.22,0,,3.21,10.07,30.37,81.32,0.95,240.21,71.17,,0.01,25.75,0.1,1.69,8.5
93,01-Oct-2017 - 00:00,02-Oct-2017 - 00:00,9.03,22.6,0.76,,0.08,0.11,4.07,0.18,,1.03,2.92,,80.48,0.96,59.43,94.68,,0.02,6.25,0.03,0.49,1.5
94,02-Oct-2017 - 00:00,03-Oct-2017 - 00:00,6.96,15.57,0.6,,0.07,5.36,2.7,0.13,,0.58,2.08,,78.96,1.13,49.26,163.32,,0.01,5.29,0,0.14,0
95,03-Oct-2017 - 00:00,04-Oct-2017 - 00:00,3.09,17.68,0.71,,0.06,0.23,18.29,0.21,2.7,0.92,2.46,,75.72,1.08,70.32,133.21,708.14,0.01,7.3,0,0.55,0
96,04-Oct-2017 - 00:00,05-Oct-2017 - 00:00,6.92,23.4,0.83,,0.09,0.17,2.86,0.25,7.7,1.04,2.8,,77.43,0.76,63.04,89.19,739.65,0.03,6.28,0,1.16,0
97,05-Oct-2017 - 00:00,06-Oct-2017 - 00:00,0.46,2.44,0.21,,0.03,0.13,0.32,0.06,0.73,0.21,0.8,,80.17,0.69,0.58,98.52,739.24,0.06,1.56,0,0.21,0
98,06-Oct-2017 - 00:00,07-Oct-2017 - 00:00,1.31,8.46,0.66,,0.04,0.17,1.02,0.19,5.03,0.53,1.91,,79.85,0.64,,112.28,727.88,0.05,6.49,0.05,0.46,3
99,07-Oct-2017 - 00:00,08-Oct-2017 - 00:00,3.22,11.88,0.69,,0.06,0.17,2.01,1.04,2.74,0.7,2.27,,79.06,0.85,78,130.15,741.32,0.02,5.85,0,0.57,0
100,08-Oct-2017 - 00:00,09-Oct-2017 - 00:00,2.81,11.33,0.56,,0.05,0.18,2.39,0.15,1.7,0.56,1.87,,78.25,1.5,275.19,170.88,,0.01,5.98,0,0.29,0
101,09-Oct-2017 - 00:00,10-Oct-2017 - 00:00,2.15,10.27,0.6,,0.06,0.16,2.09,0.12,2.69,0.86,3.29,,77.22,1.08,278.77,125.95,,0.01,5.24,0,0.25,0
102,10-Oct-2017 - 00:00,11-Oct-2017 - 00:00,,,,,0,0.14,,0,,0,0,,81.5,0.52,224.94,7.89,739.52,0.01,,0,0,0
103,11-Oct-2017 - 00:00,12-Oct-2017 - 00:00,,,,,0,0.19,,0,,0,0,,75.75,1.3,243.69,184.09,,0.02,,0,0,0
104,12-Oct-2017 - 00:00,13-Oct-2017 - 00:00,,,,,0,0.2,,0,,0,0,,74.9,1.16,262.84,170.11,,0.01,,0,0,0
105,13-Oct-2017 - 00:00,14-Oct-2017 - 00:00,,,,,0,0.18,,0,,0,0,,74.15,0.95,241.85,162.88,,0.02,,0,0,0
106,14-Oct-2017 - 00:00,15-Oct-2017 - 00:00,,,,,0,0.17,,0,,0,0,,72.47,0.92,245.09,180.54,740.75,0.04,,0,0,0
107,15-Oct-2017 - 00:00,16-Oct-2017 - 00:00,,,,,0,0.18,,0,,0,0,,73.01,1.12,183.99,183.85,741.94,0.05,,0,0,0
108,16-Oct-2017 - 00:00,17-Oct-2017 - 00:00,,,,,0,0.16,,0,,0,0,,70.12,1.37,154.84,161.88,739.16,0.07,,0,0,0
109,17-Oct-2017 - 00:00,18-Oct-2017 - 00:00,,,,,0,0.16,,0,,0,0,,62.97,1.33,108.87,191.81,741.21,0.08,,0,0,0
110,18-Oct-2017 - 00:00,19-Oct-2017 - 00:00,,,,,0,0.19,,0,,0,0,,55.61,1.79,153.16,40.08,739.58,0.09,,0,0,0
111,19-Oct-2017 - 00:00,20-Oct-2017 - 00:00,25.18,42.68,1.16,,0.13,0.25,13.13,0.76,6.7,2.39,6.01,15.55,58.33,0.72,205.8,15.14,,0.02,12.17,0.01,2.21,0.5
112,20-Oct-2017 - 00:00,21-Oct-2017 - 00:00,,,,,0,0.19,,0,,0,0,,,,,,,0,,0,0,0
113,21-Oct-2017 - 00:00,22-Oct-2017 - 00:00,6.54,17.32,0.16,,0.03,0.24,3.65,0.12,3.56,0.44,1.28,2.92,7.21,0.31,28.42,27.34,,0.01,3.27,0,0.34,0
114,22-Oct-2017 - 00:00,23-Oct-2017 - 00:00,,,,,0,0.16,,0,,0,0,,,,,,,0,,0,0,0
115,23-Oct-2017 - 00:00,24-Oct-2017 - 00:00,11.27,21.88,0.41,,0.12,0.15,2.05,0.17,15.86,0.46,1,5.99,14.66,0.11,37.19,1.9,,0,5.5,0,0.17,0
116,24-Oct-2017 - 00:00,25-Oct-2017 - 00:00,,,,,0,0.11,,0,,0,0,,,,,,,0,,0,0,0
117,25-Oct-2017 - 00:00,26-Oct-2017 - 00:00,,,,,0,0.19,,0,,0,0,,,,,,,0,,0,0,0
118,26-Oct-2017 - 00:00,27-Oct-2017 - 00:00,,,,,0,0.17,,0,,0,0,,,,,,,0,,0,0,0
119,27-Oct-2017 - 00:00,28-Oct-2017 - 00:00,0.75,1.92,0.04,,0,0.09,0.1,0.01,,0.04,0.11,0.71,1.31,0.07,3.27,10.48,,0,0.66,0,0.03,0
120,28-Oct-2017 - 00:00,29-Oct-2017 - 00:00,,,,,0,0.13,,0,,0,0,,,,,,,0,,0,0,0
121,29-Oct-2017 - 00:00,30-Oct-2017 - 00:00,,,,,0,0.11,,0,,0,0,,,,,,,0,,0,0,0
